feedback_text,created_at,category,source,rating
late fee penalty policy is too rigid when bank server transactions fail,2026-07-08 13:12:22,Fees,review,2
restrooms in ground floor management block need more frequent checks,2026-07-08 13:14:46,Cleanliness,review,2
late fee penalty policy is too rigid when bank server transactions fail,2026-07-08 14:30:51,Fees,review,2
online fee receipt generation is instant and hassle-free,2026-07-08 14:33:56,Fees,survey,4
bus frequency during peak evening hours between 5pm-6pm is adequate,2026-07-08 14:40:42,Transportation,support ticket,4
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-08 15:03:11,Security,survey,5
"street lights near basketball court are flickering, feels unsafe at night",2026-07-08 15:09:31,Security,survey,2
cultural fest organization was seamless and guest lectures were inspiring,2026-07-08 15:09:47,Events,feedback form,5
elevator in engineering block was under maintenance during morning rush,2026-07-08 15:30:48,Facilities,email,2
bus frequency during peak evening hours between 5pm-6pm is adequate,2026-07-08 15:45:19,Transportation,support ticket,4
long queues at student welfare window due to single staff member operating,2026-07-08 16:37:49,Administration,feedback form,2
restrooms in ground floor management block need more frequent checks,2026-07-08 16:57:01,Cleanliness,review,2
campus grounds are kept remarkably green and litter-free,2026-07-08 17:41:16,Cleanliness,survey,5
juice bar offers great healthy options at subsidized student rates,2026-07-08 17:44:29,Cafeteria,support ticket,5
cricket nets require replacement as the netting has torn at several places,2026-07-08 18:49:41,Sports,review,2
"street lights near basketball court are flickering, feels unsafe at night",2026-07-08 18:51:39,Security,support ticket,2
coffee machine in main canteen was broken for two days,2026-07-08 18:52:19,Cafeteria,review,2
campus grounds are kept remarkably green and litter-free,2026-07-08 19:49:53,Cleanliness,survey,5
long queues at student welfare window due to single staff member operating,2026-07-08 20:24:20,Administration,support ticket,2
"street lights near basketball court are flickering, feels unsafe at night",2026-07-08 20:58:42,Security,feedback form,2
"Gym treadmill belt is slipping, safety hazard!! kindly look into this matter.",2026-07-08 21:09:14,Facilities,review,1
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-08 21:31:38,Security,email,5
acoustics in the main auditorium were distorted during the musical evening,2026-07-08 21:43:38,Events,support ticket,3
"Cafeteria dosa counter service has improved significantly this semester, kudos!",2026-07-08 21:44:43,Cleanliness,email,1
"Plumbing maintenance in block B is very slow, taps are constantly dripping.",2026-07-08 22:13:39,Hostel,review,2
"Plumbing maintenance in block B is very slow, taps are constantly dripping.",2026-07-08 23:08:35,Hostel,feedback form,2
water coolers on third floor are functioning smoothly and chilled,2026-07-08 23:18:23,Facilities,review,4
Air conditioning in seminar hall 2 is leaking water on the front row seats.,2026-07-08 23:22:25,Cafeteria,feedback form,2
restrooms in ground floor management block need more frequent checks,2026-07-08 23:25:23,Cleanliness,support ticket,2
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-08 23:40:16,Security,survey,5
restrooms in ground floor management block need more frequent checks,2026-07-09 00:55:17,Cleanliness,email,2
lab equipment for digital electronics is outdated and some kits are faulty,2026-07-09 02:20:54,Academics,feedback form,2
need more copies of the latest edition algorithms reference book,2026-07-09 02:24:15,Library,feedback form,3
Central library Wi-Fi connectivity is extremely unstable this week,2026-07-09 02:34:10,Library,review,2
bus frequency during peak evening hours between 5pm-6pm is adequate,2026-07-09 02:34:22,Transportation,email,4
Hot water is rarely available in block A bathrooms during morning hours.,2026-07-09 02:52:10,Hostel,email,2
lab equipment for digital electronics is outdated and some kits are faulty,2026-07-09 03:25:12,Academics,support ticket,2
morning breakfast poha and upma are quite decent and fresh,2026-07-09 03:37:00,Cafeteria,feedback form,4
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-09 04:22:50,Security,support ticket,5
lab equipment for digital electronics is outdated and some kits are faulty,2026-07-09 04:39:14,Academics,feedback form,2
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-09 05:16:49,Security,review,5
late fee penalty policy is too rigid when bank server transactions fail,2026-07-09 05:29:46,Fees,support ticket,2
wifi keeps disconnecting in library,2026-07-09 05:38:24,Library,support ticket,1
online fee receipt generation is instant and hassle-free,2026-07-09 06:19:11,Fees,feedback form,4
Central library Wi-Fi connectivity is extremely unstable this week,2026-07-09 06:21:27,Library,survey,2
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-09 06:26:47,Security,support ticket,5
mess cutlery is often greasy and not cleaned thoroughly,2026-07-09 06:28:30,Cafeteria,email,1
"driver on route 7 drives aggressively on speed breakers, please check",2026-07-09 07:25:02,Transportation,email,2
online fee receipt generation is instant and hassle-free,2026-07-09 07:59:11,Fees,email,4
badminton court wooden flooring has been maintained in top shape,2026-07-09 08:02:52,Sports,support ticket,5
late fee penalty policy is too rigid when bank server transactions fail,2026-07-09 08:18:10,Fees,survey,2
weekend transit schedule should include an extra night service from metro station,2026-07-09 08:19:26,Transportation,support ticket,3
acoustics in the main auditorium were distorted during the musical evening,2026-07-09 08:37:34,Events,support ticket,3
cultural fest organization was seamless and guest lectures were inspiring,2026-07-09 08:52:52,Events,support ticket,5
Fees payment portal debited my account twice!! Kindly revert the amount quickly.,2026-07-09 08:57:25,Fees,email,3
dustbins in cafeteria annex area overflow during lunch rush hours,2026-07-09 09:19:23,Cleanliness,feedback form,2
elevator in engineering block was under maintenance during morning rush,2026-07-09 09:25:53,Facilities,review,2
water coolers on third floor are functioning smoothly and chilled,2026-07-09 09:34:41,Facilities,email,4
schedule for end semester practical exams overlaps with elective test,2026-07-09 09:45:45,Academics,email,2
Air conditioning in seminar hall 2 is leaking water on the front row seats.,2026-07-09 09:58:54,Security,review,1
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-09 10:04:58,Security,email,5
Library reading room Wi-Fi fails every time more than 20 students join.,2026-07-09 10:33:13,Library,review,1
"food quality is mediocre, especially dinner menu is repetitive",2026-07-09 10:51:57,Cafeteria,survey,2
online fee receipt generation is instant and hassle-free,2026-07-09 10:53:08,Fees,survey,4
cricket nets require replacement as the netting has torn at several places,2026-07-09 11:00:12,Sports,feedback form,2
badminton court wooden flooring has been maintained in top shape,2026-07-09 11:42:26,Sports,feedback form,5
study desks in quiet section are comfortable and well-lit,2026-07-09 12:13:45,Library,feedback form,5
professors are approachable during designated office consultation hours,2026-07-09 12:20:50,Academics,email,5
need more copies of the latest edition algorithms reference book,2026-07-09 12:29:06,Library,review,3
Submission portal timed out during class quiz due to poor lecture hall Wi-Fi.,2026-07-09 12:48:35,Academics,email,2
"Hostel bathroom cleanliness is substandard, cleaning staff does not show up daily.",2026-07-09 13:28:53,Hostel,feedback form,1
digital library terminal mice are sticky and need replacement,2026-07-09 14:03:13,Library,support ticket,2
weekend transit schedule should include an extra night service from metro station,2026-07-09 14:29:34,Transportation,feedback form,3
"transcript request was processed within 2 working days, very impressed",2026-07-09 14:35:34,Administration,support ticket,5
cultural fest organization was seamless and guest lectures were inspiring,2026-07-09 14:55:08,Events,survey,5
online fee receipt generation is instant and hassle-free,2026-07-09 15:14:43,Fees,feedback form,4
"food quality is mediocre, especially dinner menu is repetitive",2026-07-09 15:47:08,Cafeteria,email,2
online fee receipt generation is instant and hassle-free,2026-07-09 15:48:15,Fees,survey,4
campus grounds are kept remarkably green and litter-free,2026-07-09 16:03:46,Cleanliness,support ticket,5
badminton court wooden flooring has been maintained in top shape,2026-07-09 16:04:51,Sports,email,5
cultural fest organization was seamless and guest lectures were inspiring,2026-07-09 16:23:23,Events,survey,5
"transcript request was processed within 2 working days, very impressed",2026-07-09 16:35:08,Administration,review,5
long queues at student welfare window due to single staff member operating,2026-07-09 16:53:24,Administration,feedback form,2
late fee penalty policy is too rigid when bank server transactions fail,2026-07-09 17:01:16,Fees,feedback form,2
digital library terminal mice are sticky and need replacement,2026-07-09 17:28:24,Library,survey,2
"street lights near basketball court are flickering, feels unsafe at night",2026-07-09 17:29:12,Security,survey,2
restrooms in ground floor management block need more frequent checks,2026-07-09 17:47:47,Cleanliness,review,2
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-09 17:55:37,Security,survey,5
"street lights near basketball court are flickering, feels unsafe at night",2026-07-09 18:33:41,Security,survey,2
need more copies of the latest edition algorithms reference book,2026-07-09 19:06:37,Library,email,3
classroom projectors in block 2 have low lamp brightness,2026-07-09 19:22:47,Facilities,support ticket,2
"Plumbing maintenance in block B is very slow, taps are constantly dripping.",2026-07-09 19:45:44,Hostel,feedback form,1
badminton court wooden flooring has been maintained in top shape,2026-07-09 20:19:58,Sports,review,5
"transcript request was processed within 2 working days, very impressed",2026-07-09 20:26:25,Administration,feedback form,5
digital library terminal mice are sticky and need replacement,2026-07-09 20:36:06,Library,feedback form,2
classroom projectors in block 2 have low lamp brightness,2026-07-09 20:55:59,Facilities,support ticket,2
acoustics in the main auditorium were distorted during the musical evening,2026-07-09 21:24:53,Events,review,3
coffee machine in main canteen was broken for two days,2026-07-09 21:37:17,Cafeteria,feedback form,2
study desks in quiet section are comfortable and well-lit,2026-07-09 21:40:12,Library,survey,5
"transcript request was processed within 2 working days, very impressed",2026-07-09 21:59:14,Administration,support ticket,5
faculty feedback process is transparent and taken seriously by HOD,2026-07-09 22:17:16,Academics,email,4
Wi-Fi is constantly dropping in the central library reading room,2026-07-09 22:53:20,Library,survey,2
weekend transit schedule should include an extra night service from metro station,2026-07-09 22:57:31,Transportation,support ticket,3
faculty feedback process is transparent and taken seriously by HOD,2026-07-09 23:30:39,Academics,support ticket,4
weekend transit schedule should include an extra night service from metro station,2026-07-09 23:57:09,Transportation,feedback form,3
cricket nets require replacement as the netting has torn at several places,2026-07-10 00:29:48,Sports,support ticket,2
cricket nets require replacement as the netting has torn at several places,2026-07-10 00:49:19,Sports,support ticket,2
restrooms in ground floor management block need more frequent checks,2026-07-10 01:44:41,Cleanliness,survey,2
Submission portal timed out during class quiz due to poor lecture hall Wi-Fi.,2026-07-10 01:44:51,Academics,survey,1
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-10 02:06:46,Security,survey,5
cultural fest organization was seamless and guest lectures were inspiring,2026-07-10 02:28:23,Events,survey,5
"street lights near basketball court are flickering, feels unsafe at night",2026-07-10 02:48:37,Security,support ticket,2
Library staff was very helpful with issuing reference textbooks today.,2026-07-10 03:23:16,Cleanliness,support ticket,1
schedule for end semester practical exams overlaps with elective test,2026-07-10 03:29:25,Academics,survey,2
restrooms in ground floor management block need more frequent checks,2026-07-10 03:37:05,Cleanliness,review,2
acoustics in the main auditorium were distorted during the musical evening,2026-07-10 03:37:13,Events,email,3
Water pressure in 4th floor hostel showers is almost zero in the morning.,2026-07-10 03:40:15,Hostel,survey,2
badminton court wooden flooring has been maintained in top shape,2026-07-10 03:43:30,Sports,survey,5
dustbins in cafeteria annex area overflow during lunch rush hours,2026-07-10 03:55:12,Cleanliness,feedback form,2
long queues at student welfare window due to single staff member operating,2026-07-10 04:52:08,Administration,feedback form,2
restrooms in ground floor management block need more frequent checks,2026-07-10 06:00:44,Cleanliness,email,2
campus grounds are kept remarkably green and litter-free,2026-07-10 06:13:10,Cleanliness,support ticket,5
cricket nets require replacement as the netting has torn at several places,2026-07-10 06:16:09,Sports,support ticket,2
acoustics in the main auditorium were distorted during the musical evening,2026-07-10 06:29:47,Events,feedback form,3
faculty feedback process is transparent and taken seriously by HOD,2026-07-10 07:18:05,Academics,review,4
badminton court wooden flooring has been maintained in top shape,2026-07-10 07:32:26,Sports,support ticket,5
cricket nets require replacement as the netting has torn at several places,2026-07-10 07:45:17,Sports,feedback form,2
cricket nets require replacement as the netting has torn at several places,2026-07-10 08:16:16,Sports,feedback form,2
faculty feedback process is transparent and taken seriously by HOD,2026-07-10 08:16:17,Academics,survey,4
acoustics in the main auditorium were distorted during the musical evening,2026-07-10 08:24:24,Events,feedback form,3
Hostel room switchboards are loose and maintenance hasn't fixed them yet.,2026-07-10 08:35:57,Hostel,review,2
water coolers on third floor are functioning smoothly and chilled,2026-07-10 09:33:34,Facilities,email,4
cricket nets require replacement as the netting has torn at several places,2026-07-10 10:31:10,Sports,review,2
acoustics in the main auditorium were distorted during the musical evening,2026-07-10 12:33:58,Events,survey,3
Central library Wi-Fi connectivity is extremely unstable this week,2026-07-10 12:37:37,Library,survey,1
elevator in engineering block was under maintenance during morning rush,2026-07-10 12:52:19,Facilities,email,2
acoustics in the main auditorium were distorted during the musical evening,2026-07-10 12:56:25,Events,email,3
late fee penalty policy is too rigid when bank server transactions fail,2026-07-10 13:27:37,Fees,support ticket,2
cultural fest organization was seamless and guest lectures were inspiring,2026-07-10 14:09:09,Events,review,5
elevator in engineering block was under maintenance during morning rush,2026-07-10 14:36:01,Facilities,feedback form,2
cricket nets require replacement as the netting has torn at several places,2026-07-10 14:37:45,Sports,review,2
late fee penalty policy is too rigid when bank server transactions fail,2026-07-10 14:47:22,Fees,email,2
"driver on route 7 drives aggressively on speed breakers, please check",2026-07-10 15:32:25,Transportation,email,2
study desks in quiet section are comfortable and well-lit,2026-07-10 15:45:51,Library,review,5
"driver on route 7 drives aggressively on speed breakers, please check",2026-07-10 15:55:33,Transportation,feedback form,2
long queues at student welfare window due to single staff member operating,2026-07-10 16:03:24,Administration,feedback form,2
morning breakfast poha and upma are quite decent and fresh,2026-07-10 16:26:55,Cafeteria,feedback form,4
weekend transit schedule should include an extra night service from metro station,2026-07-10 16:29:36,Transportation,review,3
Air conditioning in seminar hall 2 is leaking water on the front row seats.,2026-07-10 17:34:06,Sports,support ticket,5
"Plumbing maintenance in block B is very slow, taps are constantly dripping.",2026-07-10 17:45:23,Hostel,support ticket,2
campus grounds are kept remarkably green and litter-free,2026-07-10 18:00:08,Cleanliness,feedback form,5
dustbins in cafeteria annex area overflow during lunch rush hours,2026-07-10 18:04:47,Cleanliness,review,2
faculty feedback process is transparent and taken seriously by HOD,2026-07-10 18:05:56,Academics,survey,4
badminton court wooden flooring has been maintained in top shape,2026-07-10 18:06:08,Sports,review,5
Admin staff was extremely rude when I went for fee concession verification.,2026-07-10 18:53:18,Cafeteria,survey,1
weekend transit schedule should include an extra night service from metro station,2026-07-10 19:07:15,Transportation,feedback form,3
study desks in quiet section are comfortable and well-lit,2026-07-10 19:10:34,Library,survey,5
Submission portal timed out during class quiz due to poor lecture hall Wi-Fi.,2026-07-10 19:18:54,Academics,feedback form,2
cultural fest organization was seamless and guest lectures were inspiring,2026-07-10 19:50:23,Events,email,5
"Plumbing maintenance in block B is very slow, taps are constantly dripping.",2026-07-10 20:04:19,Hostel,survey,2
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-10 20:11:18,Security,feedback form,5
Hostel geysers in block C are still leaking despite repeated complaints.,2026-07-10 20:16:10,Hostel,review,1
cultural fest organization was seamless and guest lectures were inspiring,2026-07-10 20:22:27,Events,survey,5
elevator in engineering block was under maintenance during morning rush,2026-07-10 20:55:43,Facilities,review,2
acoustics in the main auditorium were distorted during the musical evening,2026-07-10 21:02:46,Events,email,3
acoustics in the main auditorium were distorted during the musical evening,2026-07-10 21:05:31,Events,support ticket,3
need more copies of the latest edition algorithms reference book,2026-07-10 21:09:34,Library,email,3
juice bar offers great healthy options at subsidized student rates,2026-07-10 21:10:12,Cafeteria,survey,5
badminton court wooden flooring has been maintained in top shape,2026-07-10 21:25:16,Sports,review,5
cultural fest organization was seamless and guest lectures were inspiring,2026-07-10 21:27:39,Events,feedback form,5
campus grounds are kept remarkably green and litter-free,2026-07-10 21:34:04,Cleanliness,review,5
"driver on route 7 drives aggressively on speed breakers, please check",2026-07-10 22:29:03,Transportation,review,2
study desks in quiet section are comfortable and well-lit,2026-07-10 22:32:17,Library,survey,5
morning breakfast poha and upma are quite decent and fresh,2026-07-10 22:32:30,Cafeteria,support ticket,4
mess cutlery is often greasy and not cleaned thoroughly,2026-07-10 23:18:48,Cafeteria,feedback form,1
elevator in engineering block was under maintenance during morning rush,2026-07-10 23:36:32,Facilities,survey,2
"street lights near basketball court are flickering, feels unsafe at night",2026-07-10 23:43:07,Security,feedback form,2
badminton court wooden flooring has been maintained in top shape,2026-07-10 23:43:54,Sports,support ticket,5
morning breakfast poha and upma are quite decent and fresh,2026-07-10 23:43:55,Cafeteria,feedback form,4
acoustics in the main auditorium were distorted during the musical evening,2026-07-11 00:15:32,Events,feedback form,3
acoustics in the main auditorium were distorted during the musical evening,2026-07-11 00:26:14,Events,survey,3
"driver on route 7 drives aggressively on speed breakers, please check",2026-07-11 00:33:19,Transportation,feedback form,2
cricket nets require replacement as the netting has torn at several places,2026-07-11 00:56:53,Sports,survey,2
long queues at student welfare window due to single staff member operating,2026-07-11 00:59:28,Administration,review,2
elevator in engineering block was under maintenance during morning rush,2026-07-11 01:10:34,Facilities,survey,2
study desks in quiet section are comfortable and well-lit,2026-07-11 01:11:34,Library,email,5
weekend transit schedule should include an extra night service from metro station,2026-07-11 01:15:20,Transportation,support ticket,3
online fee receipt generation is instant and hassle-free,2026-07-11 01:25:38,Fees,review,4
long queues at student welfare window due to single staff member operating,2026-07-11 01:47:38,Administration,survey,2
online fee receipt generation is instant and hassle-free,2026-07-11 01:50:29,Fees,support ticket,4
schedule for end semester practical exams overlaps with elective test,2026-07-11 03:00:52,Academics,review,2
elevator in engineering block was under maintenance during morning rush,2026-07-11 03:02:46,Facilities,review,2
cricket nets require replacement as the netting has torn at several places,2026-07-11 03:08:58,Sports,review,2
Bathroom flush in hostel room 304 not working properly since two weeks.,2026-07-11 03:16:14,Hostel,review,2
elevator in engineering block was under maintenance during morning rush,2026-07-11 03:29:15,Facilities,email,2
badminton court wooden flooring has been maintained in top shape,2026-07-11 03:43:36,Sports,survey,5
schedule for end semester practical exams overlaps with elective test,2026-07-11 04:10:43,Academics,support ticket,2
need more copies of the latest edition algorithms reference book,2026-07-11 04:37:58,Library,review,3
need more copies of the latest edition algorithms reference book,2026-07-11 04:38:43,Library,survey,3
long queues at student welfare window due to single staff member operating,2026-07-11 04:39:37,Administration,review,2
late fee penalty policy is too rigid when bank server transactions fail,2026-07-11 04:42:39,Fees,survey,2
study desks in quiet section are comfortable and well-lit,2026-07-11 04:47:27,Library,survey,5
digital library terminal mice are sticky and need replacement,2026-07-11 04:53:25,Library,email,2
cultural fest organization was seamless and guest lectures were inspiring,2026-07-11 05:07:41,Events,feedback form,5
faculty feedback process is transparent and taken seriously by HOD,2026-07-11 05:15:38,Academics,survey,4
late fee penalty policy is too rigid when bank server transactions fail,2026-07-11 05:40:00,Fees,feedback form,2
schedule for end semester practical exams overlaps with elective test,2026-07-11 05:45:54,Academics,support ticket,2
"transcript request was processed within 2 working days, very impressed",2026-07-11 05:45:54,Administration,feedback form,5
cultural fest organization was seamless and guest lectures were inspiring,2026-07-11 06:42:04,Events,email,5
badminton court wooden flooring has been maintained in top shape,2026-07-11 06:45:41,Sports,survey,5
cricket nets require replacement as the netting has torn at several places,2026-07-11 06:53:55,Sports,feedback form,2
professors are approachable during designated office consultation hours,2026-07-11 07:01:41,Academics,survey,5
lab equipment for digital electronics is outdated and some kits are faulty,2026-07-11 07:09:12,Academics,support ticket,2
late fee penalty policy is too rigid when bank server transactions fail,2026-07-11 08:06:46,Fees,survey,2
Cannot download research papers from library digital section due to no Wi-Fi.,2026-07-11 08:13:09,Library,review,2
Bathroom flush in hostel room 304 not working properly since two weeks.,2026-07-11 08:18:18,Hostel,review,1
"driver on route 7 drives aggressively on speed breakers, please check",2026-07-11 08:39:56,Transportation,email,2
Great workshop conducted by robotics club! Really learned a lot.,2026-07-11 08:41:16,Events,feedback form,5
cultural fest organization was seamless and guest lectures were inspiring,2026-07-11 08:42:04,Events,survey,5
elevator in engineering block was under maintenance during morning rush,2026-07-11 09:41:56,Facilities,survey,2
acoustics in the main auditorium were distorted during the musical evening,2026-07-11 10:08:21,Events,feedback form,3
dustbins in cafeteria annex area overflow during lunch rush hours,2026-07-11 10:38:38,Cleanliness,review,2
campus grounds are kept remarkably green and litter-free,2026-07-11 11:06:01,Cleanliness,support ticket,5
Internet keeps shutting off while researching in the university library,2026-07-11 11:06:08,Library,support ticket,2
"street lights near basketball court are flickering, feels unsafe at night",2026-07-11 11:12:20,Security,support ticket,2
late fee penalty policy is too rigid when bank server transactions fail,2026-07-11 11:41:02,Fees,review,2
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-11 12:10:55,Security,email,5
online fee receipt generation is instant and hassle-free,2026-07-11 12:24:45,Fees,feedback form,4
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-11 13:06:23,Security,review,5
elevator in engineering block was under maintenance during morning rush,2026-07-11 14:39:27,Facilities,email,2
classroom projectors in block 2 have low lamp brightness,2026-07-11 14:42:30,Facilities,survey,2
"transcript request was processed within 2 working days, very impressed",2026-07-11 14:44:05,Administration,feedback form,5
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-11 14:52:32,Security,support ticket,5
water coolers on third floor are functioning smoothly and chilled,2026-07-11 14:57:00,Facilities,feedback form,4
juice bar offers great healthy options at subsidized student rates,2026-07-11 15:19:23,Cafeteria,survey,5
bus frequency during peak evening hours between 5pm-6pm is adequate,2026-07-11 15:29:29,Transportation,feedback form,4
need more copies of the latest edition algorithms reference book,2026-07-11 15:44:41,Library,survey,3
Department lab computers cannot access intranet because academic Wi-Fi is failing.,2026-07-11 16:44:20,Academics,email,1
Department lab computers cannot access intranet because academic Wi-Fi is failing.,2026-07-11 16:55:23,Academics,email,1
professors are approachable during designated office consultation hours,2026-07-11 17:32:20,Academics,review,5
"transcript request was processed within 2 working days, very impressed",2026-07-11 17:51:27,Administration,feedback form,5
cultural fest organization was seamless and guest lectures were inspiring,2026-07-11 18:00:38,Events,survey,5
Department lab computers cannot access intranet because academic Wi-Fi is failing.,2026-07-11 18:17:57,Academics,email,1
online fee receipt generation is instant and hassle-free,2026-07-11 18:51:24,Fees,feedback form,4
cultural fest organization was seamless and guest lectures were inspiring,2026-07-11 18:59:20,Events,support ticket,5
weekend transit schedule should include an extra night service from metro station,2026-07-11 19:34:39,Transportation,feedback form,3
morning breakfast poha and upma are quite decent and fresh,2026-07-11 19:50:31,Cafeteria,email,4
bus frequency during peak evening hours between 5pm-6pm is adequate,2026-07-11 19:53:56,Transportation,email,4
"Gym treadmill belt is slipping, safety hazard!! kindly look into this matter.",2026-07-11 20:01:42,Academics,survey,2
cricket nets require replacement as the netting has torn at several places,2026-07-11 21:10:24,Sports,email,2
long queues at student welfare window due to single staff member operating,2026-07-11 21:18:46,Administration,review,2
long queues at student welfare window due to single staff member operating,2026-07-11 22:08:48,Administration,feedback form,2
bus frequency during peak evening hours between 5pm-6pm is adequate,2026-07-11 22:13:29,Transportation,support ticket,4
Wi-Fi in hostel common room has been down for three days straight.,2026-07-11 23:18:04,Hostel,support ticket,2
cricket nets require replacement as the netting has torn at several places,2026-07-11 23:55:55,Sports,review,2
late fee penalty policy is too rigid when bank server transactions fail,2026-07-12 00:09:48,Fees,support ticket,2
late fee penalty policy is too rigid when bank server transactions fail,2026-07-12 00:57:56,Fees,email,2
Hostel geysers in block C are still leaking despite repeated complaints.,2026-07-12 01:08:44,Hostel,email,2
campus grounds are kept remarkably green and litter-free,2026-07-12 01:22:40,Cleanliness,email,5
weekend transit schedule should include an extra night service from metro station,2026-07-12 02:12:06,Transportation,email,3
Cannot download research papers from library digital section due to no Wi-Fi.,2026-07-12 02:22:11,Library,support ticket,1
restrooms in ground floor management block need more frequent checks,2026-07-12 02:26:24,Cleanliness,support ticket,2
faculty feedback process is transparent and taken seriously by HOD,2026-07-12 02:44:02,Academics,support ticket,4
juice bar offers great healthy options at subsidized student rates,2026-07-12 02:51:18,Cafeteria,review,5
online fee receipt generation is instant and hassle-free,2026-07-12 03:05:16,Fees,support ticket,4
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-12 03:09:24,Security,survey,5
campus grounds are kept remarkably green and litter-free,2026-07-12 03:22:06,Cleanliness,survey,5
cricket nets require replacement as the netting has torn at several places,2026-07-12 03:52:02,Sports,email,2
"Cleanliness of admin block stairs is pathetic, dust everywhere since monday.",2026-07-12 03:54:44,Transportation,support ticket,4
digital library terminal mice are sticky and need replacement,2026-07-12 03:55:52,Library,support ticket,2
bus frequency during peak evening hours between 5pm-6pm is adequate,2026-07-12 04:38:15,Transportation,review,4
"street lights near basketball court are flickering, feels unsafe at night",2026-07-12 04:53:31,Security,feedback form,2
"street lights near basketball court are flickering, feels unsafe at night",2026-07-12 04:59:19,Security,email,2
online fee receipt generation is instant and hassle-free,2026-07-12 05:03:39,Fees,survey,4
"street lights near basketball court are flickering, feels unsafe at night",2026-07-12 05:05:12,Security,feedback form,2
bus frequency during peak evening hours between 5pm-6pm is adequate,2026-07-12 05:41:14,Transportation,survey,4
schedule for end semester practical exams overlaps with elective test,2026-07-12 06:00:11,Academics,support ticket,2
long queues at student welfare window due to single staff member operating,2026-07-12 06:05:58,Administration,feedback form,2
Fees payment portal debited my account twice!! Kindly revert the amount quickly.,2026-07-12 06:11:06,Sports,feedback form,2
bus frequency during peak evening hours between 5pm-6pm is adequate,2026-07-12 06:13:36,Transportation,support ticket,4
classroom projectors in block 2 have low lamp brightness,2026-07-12 06:16:07,Facilities,feedback form,2
professors are approachable during designated office consultation hours,2026-07-12 07:34:40,Academics,feedback form,5
Wi-Fi keeps kicking devices off the network every few minutes.,2026-07-12 07:35:23,Wi-Fi/Internet,email,1
professors are approachable during designated office consultation hours,2026-07-12 07:37:03,Academics,survey,5
online fee receipt generation is instant and hassle-free,2026-07-12 07:39:28,Fees,review,4
wfi in cafetaria is totally not working yaar... plz do the needful ASAP!!,2026-07-12 09:20:18,Events,email,4
Drainage in ground floor washroom gets clogged every few days.,2026-07-12 09:28:05,Hostel,support ticket,1
schedule for end semester practical exams overlaps with elective test,2026-07-12 09:32:21,Academics,email,2
"transcript request was processed within 2 working days, very impressed",2026-07-12 09:34:17,Administration,feedback form,5
